day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-28.5,2.0,u27,2013-03-28,2013-03-28,10.0,10.0,4.4925,0.0
2013-03-29.4,3.0,u27,2013-03-29,2013-03-29,24.0,24.0,9.593055555555557,0.0
2013-03-29.5,1.0,u27,2013-03-29,2013-03-29,24.0,24.0,9.593055555555557,0.0
2013-04-03.9,1.0,u27,2013-04-03,2013-04-03,24.0,24.0,7.55,0.0
2013-04-04.10,1.0,u27,2013-04-04,2013-04-04,24.0,24.0,6.0,0.0
2013-04-05.7,1.0,u27,2013-04-05,2013-04-05,24.0,24.0,8.614722222222222,0.0
2013-04-08.8,3.0,u27,2013-04-08,2013-04-08,24.0,24.0,7.346111111111111,1.0
2013-04-10.4,3.0,u27,2013-04-10,2013-04-10,24.0,24.0,7.3575,0.0
2013-04-18.4,2.0,u27,2013-04-18,2013-04-18,24.0,24.0,,1.0
2013-04-18.5,3.0,u27,2013-04-18,2013-04-18,24.0,24.0,,1.0
2013-04-17.4,2.0,u27,2013-04-17,2013-04-17,24.0,24.0,5.188055555555556,0.0
2013-04-29.1,2.0,u27,2013-04-29,2013-04-29,24.0,24.0,7.230833333333333,0.0
2013-04-03.10,2.0,u51,2013-04-03,2013-04-03,24.0,24.0,1.8441666666666665,0.0
2013-04-04.11,1.0,u51,2013-04-04,2013-04-04,24.0,24.0,3.994444444444445,0.0
2013-04-05.8,1.0,u51,2013-04-05,2013-04-05,26.0,24.0,3.770555555555556,0.0
2013-04-06.5,1.0,u51,2013-04-06,2013-04-06,24.0,24.0,6.457777777777778,0.0
2013-04-06.6,4.0,u51,2013-04-06,2013-04-06,24.0,24.0,6.457777777777778,0.0
2013-04-08.9,1.0,u51,2013-04-08,2013-04-08,24.0,24.0,2.0444444444444443,1.0
2013-04-09.6,1.0,u51,2013-04-09,2013-04-09,27.0,24.0,3.096111111111111,1.0
2013-04-13.4,1.0,u51,2013-04-13,2013-04-13,24.0,24.0,2.1119444444444446,0.0
2013-04-15.6,2.0,u51,2013-04-15,2013-04-15,24.0,25.0,3.0744444444444445,1.0
2013-04-16.4,1.0,u51,2013-04-16,2013-04-16,24.0,24.0,2.4722222222222223,0.0
2013-04-16.5,2.0,u51,2013-04-16,2013-04-16,24.0,24.0,2.4722222222222223,0.0
2013-04-17.5,1.0,u51,2013-04-17,2013-04-17,24.0,23.0,3.6608333333333336,0.0
2013-05-03.2,2.0,u51,2013-05-03,2013-05-03,24.0,24.0,4.039166666666667,0.0
2013-05-20,2.0,u51,2013-05-20,2013-05-20,24.0,24.0,1.9677777777777776,0.0
2013-05-21,2.0,u51,2013-05-21,2013-05-21,24.0,24.0,8.127777777777778,0.0
2013-04-01.2,1.0,u59,2013-04-01,2013-04-01,24.0,24.0,9.725555555555555,2.0
2013-04-01.3,4.0,u59,2013-04-01,2013-04-01,24.0,24.0,9.725555555555555,2.0
2013-04-01.4,5.0,u59,2013-04-01,2013-04-01,24.0,24.0,9.725555555555555,2.0
2013-03-27.3,1.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
