day,level,uid
2013-04-11.6,4.0,u59
2013-04-11.7,1.0,u59
2013-04-09.7,5.0,u59
2013-04-09.8,1.0,u59
2013-04-10.5,5.0,u59
2013-04-10.6,1.0,u59
2013-04-12.7,1.0,u59
2013-04-12.8,4.0,u59
2013-04-12.9,2.0,u59
2013-04-15.7,1.0,u59
2013-04-15.8,2.0,u59
2013-04-13.5,4.0,u59
2013-04-16.6,4.0,u59
2013-04-16.7,1.0,u59
2013-04-17.6,2.0,u59
2013-04-17.7,1.0,u59
2013-04-17.8,4.0,u59
2013-04-18.6,1.0,u59
2013-04-18.7,4.0,u59
2013-04-19,1.0,u59
2013-04-19.1,4.0,u59
2013-04-19.2,5.0,u59
2013-04-20,4.0,u59
2013-04-20.1,1.0,u59
2013-04-29.2,1.0,u59
2013-04-29.3,2.0,u59
2013-04-29.4,4.0,u59
2013-04-22.3,1.0,u59
2013-04-23.1,1.0,u59
2013-04-23.2,3.0,u59
2013-04-24,1.0,u59
2013-04-24.1,4.0,u59
2013-04-25,4.0,u59
2013-04-25.1,1.0,u59
2013-04-30.2,3.0,u59
2013-05-02,4.0,u59
2013-05-02.1,1.0,u59
2013-05-03.3,4.0,u59
2013-05-03.4,1.0,u59
2013-05-09.1,4.0,u59
2013-05-06.2,1.0,u59
2013-05-06.3,4.0,u59
2013-05-12,3.0,u59
2013-05-07,1.0,u59
2013-05-07.1,4.0,u59
2013-05-11,3.0,u59
2013-05-11.1,2.0,u59
2013-05-15,2.0,u59
2013-05-18,4.0,u59
2013-05-18.1,1.0,u59
2013-05-19.1,4.0,u59
2013-05-21.1,1.0,u59
2013-05-21.2,4.0,u59
2013-05-23,4.0,u59
2013-05-27,2.0,u59
2013-05-27.1,4.0,u59
2013-05-24,1.0,u59
2013-05-30,5.0,u59
2013-05-30.1,2.0,u59
2013-05-26,4.0,u59
2013-05-29,2.0,u59
2013-06-01,1.0,u59
2013-06-01.1,5.0,u59
2013-06-06,4.0,u59
2013-06-02,4.0,u59
2013-06-04,4.0,u59
2013-06-07,4.0,u59
2013-04-01.5,1.0,u10
2013-04-01.6,4.0,u10
2013-04-03.14,4.0,u10
2013-04-03.15,1.0,u10
2013-04-03.16,5.0,u10
2013-03-30.6,2.0,u10
2013-03-30.7,1.0,u10
2013-03-30.8,4.0,u10
2013-03-31.8,1.0,u10
2013-03-31.9,4.0,u10
2013-04-02.8,4.0,u10
2013-04-02.9,1.0,u10
2013-04-04.15,4.0,u10
2013-04-04.16,1.0,u10
2013-04-08.12,1.0,u10
2013-04-08.13,5.0,u10
2013-04-08.14,4.0,u10
2013-04-05.13,1.0,u10
2013-04-05.14,2.0,u10
2013-04-07.9,1.0,u10
2013-04-07.10,4.0,u10
2013-04-06.7,2.0,u10
2013-04-06.8,4.0,u10
2013-04-09.9,4.0,u10
2013-04-09.10,5.0,u10
2013-04-09.11,1.0,u10
2013-04-10.7,4.0,u10
2013-04-10.8,1.0,u10
2013-04-11.8,1.0,u10
2013-04-11.9,4.0,u10
2013-04-11.10,2.0,u10
2013-04-12.10,4.0,u10
2013-04-12.11,1.0,u10
2013-04-13.6,1.0,u10
2013-04-17.9,2.0,u10
2013-04-17.10,1.0,u10
2013-04-16.8,1.0,u10
2013-04-15.9,1.0,u10
2013-04-15.10,2.0,u10
2013-04-18.8,4.0,u10
2013-04-18.9,1.0,u10
2013-04-21,4.0,u10
2013-04-23.3,4.0,u10
2013-04-23.4,1.0,u10
2013-04-23.5,2.0,u10
2013-04-22.4,4.0,u10
2013-04-27,4.0,u10
2013-04-26.1,1.0,u10
2013-04-26.2,2.0,u10
2013-04-29.5,3.0,u10
2013-04-29.6,4.0,u10
2013-04-30.3,1.0,u10
2013-04-30.4,4.0,u10
2013-05-02.2,1.0,u10
2013-05-08.1,1.0,u10
2013-05-07.2,1.0,u10
2013-05-03.5,1.0,u10
2013-03-30.9,1.0,u08
2013-03-27.6,2.0,u08
2013-03-27.7,1.0,u08
2013-03-27.8,4.0,u08
2013-03-28.9,3.0,u08
2013-03-28.10,1.0,u08
2013-03-28.11,2.0,u08
2013-03-28.12,4.0,u08
2013-03-29.9,1.0,u08
2013-03-29.10,2.0,u08
2013-04-02.10,1.0,u08
2013-03-31.10,1.0,u08
2013-04-01.7,3.0,u08
2013-04-01.8,2.0,u08
2013-04-01.9,1.0,u08
2013-04-03.17,1.0,u08
2013-04-04.17,1.0,u08
2013-04-05.15,1.0,u08
2013-04-05.16,3.0,u08
2013-04-07.11,1.0,u08
2013-04-08.15,1.0,u08
2013-04-15.11,2.0,u08
2013-04-15.12,3.0,u08
2013-04-10.9,3.0,u08
2013-04-12.12,2.0,u08
2013-04-14.5,2.0,u08
2013-04-16.9,2.0,u08
2013-04-18.10,3.0,u08
2013-04-18.11,2.0,u08
2013-04-20.2,2.0,u08
2013-04-25.2,3.0,u08
2013-04-21.1,3.0,u08
2013-04-23.6,2.0,u08
2013-04-27.1,3.0,u08
2013-05-01.2,3.0,u08
2013-05-01.3,1.0,u08
2013-05-01.4,2.0,u08
2013-05-05,3.0,u08
2013-05-09.2,2.0,u08
2013-05-07.3,2.0,u08
2013-05-19.2,2.0,u08
2013-05-23.1,2.0,u08
2013-04-03.18,1.0,u32
2013-03-31.11,4.0,u32
2013-04-01.10,1.0,u32
2013-04-04.18,1.0,u32
2013-04-04.19,4.0,u32
2013-04-08.16,4.0,u32
2013-04-08.17,1.0,u32
2013-04-06.9,4.0,u32
2013-04-05.17,1.0,u32
2013-04-07.12,4.0,u32
2013-04-17.11,1.0,u32
2013-04-17.12,4.0,u32
2013-04-09.12,4.0,u32
2013-04-10.10,4.0,u32
2013-04-16.10,1.0,u32
2013-04-11.11,1.0,u32
2013-04-12.13,4.0,u32
2013-04-13.7,4.0,u32
2013-04-14.6,1.0,u32
2013-04-15.13,1.0,u32
2013-04-18.12,4.0,u32
2013-04-20.3,4.0,u32
2013-04-24.2,4.0,u32
2013-04-22.5,1.0,u32
2013-04-22.6,4.0,u32
2013-04-23.7,4.0,u32
2013-04-26.3,1.0,u32
2013-04-28,1.0,u32
2013-04-29.7,1.0,u32
2013-04-30.5,4.0,u32
2013-04-30.6,1.0,u32
2013-05-10,1.0,u32
2013-05-06.4,1.0,u32
2013-05-08.2,1.0,u32
2013-05-14,1.0,u32
2013-05-18.2,5.0,u32
2013-05-22,1.0,u32
2013-05-27.2,4.0,u32
2013-03-27.9,4.0,u05
2013-03-27.10,5.0,u05
2013-03-28.13,4.0,u05
2013-03-28.14,1.0,u05
2013-03-30.10,4.0,u05
2013-03-31.12,1.0,u05
2013-03-30.11,4.0,u07
2013-03-30.12,5.0,u07
2013-03-27.11,2.0,u07
2013-03-27.12,4.0,u07
2013-03-27.13,1.0,u07
2013-03-28.15,1.0,u07
2013-03-28.16,4.0,u07
2013-03-29.11,4.0,u07
2013-03-29.12,1.0,u07
2013-03-31.13,4.0,u07
2013-03-31.14,5.0,u07
2013-03-31.15,1.0,u07
2013-04-01.11,5.0,u07
2013-04-01.12,4.0,u07
2013-04-03.19,4.0,u07
2013-04-04.20,4.0,u07
2013-04-05.18,5.0,u07
2013-04-08.18,4.0,u07
2013-04-11.12,4.0,u07
2013-04-11.13,1.0,u07
2013-04-12.14,1.0,u07
2013-04-12.15,4.0,u07
2013-04-13.8,4.0,u07
2013-04-17.13,4.0,u07
2013-04-15.14,2.0,u07
2013-04-23.8,4.0,u07
2013-04-23.9,5.0,u07
2013-03-31.16,1.0,u03
2013-03-31.17,4.0,u03
2013-03-31.18,5.0,u03
2013-03-27.14,4.0,u03
2013-03-27.15,5.0,u03
2013-04-04.21,5.0,u03
2013-04-05.19,5.0,u03
2013-04-07.13,1.0,u03
2013-04-08.19,5.0,u03
2013-04-09.13,1.0,u03
2013-04-21.2,2.0,u03
2013-04-23.10,1.0,u03
2013-04-29.8,3.0,u03
2013-04-29.9,4.0,u03
2013-05-12.1,1.0,u03
2013-04-08.20,,u13
2013-04-03.20,4.0,u30
2013-03-29.13,4.0,u30
2013-03-29.14,1.0,u30
2013-03-31.19,4.0,u30
2013-03-31.20,1.0,u30
2013-04-06.10,4.0,u30
2013-04-06.11,5.0,u30
2013-04-06.12,1.0,u30
2013-04-07.14,2.0,u30
2013-04-10.11,5.0,u30
2013-04-10.12,4.0,u30
2013-04-11.14,4.0,u30
2013-04-13.9,4.0,u30
2013-04-16.11,4.0,u30
2013-04-15.15,4.0,u30
2013-04-17.14,1.0,u30
2013-04-18.13,3.0,u30
2013-04-19.3,2.0,u30
2013-04-20.4,1.0,u30
2013-04-22.7,4.0,u30
2013-04-26.4,1.0,u30
2013-04-25.3,4.0,u30
2013-04-29.10,1.0,u30
2013-05-03.6,4.0,u30
2013-03-29.15,1.0,u14
2013-03-30.13,1.0,u14
2013-04-01.13,2.0,u14
2013-04-03.21,2.0,u14
2013-04-04.22,2.0,u14
2013-04-05.20,2.0,u14
2013-04-06.13,2.0,u14
2013-04-09.14,2.0,u14
2013-04-10.13,2.0,u14
2013-04-12.16,2.0,u14
2013-04-11.15,2.0,u14
2013-04-15.16,2.0,u14
2013-04-17.15,2.0,u14
2013-04-18.14,2.0,u14
2013-04-29.11,2.0,u14
2013-04-29.12,3.0,u14
2013-05-09.3,3.0,u14
2013-04-03.22,1.0,u12
2013-04-03.23,4.0,u12
2013-03-27.16,4.0,u12
2013-03-28.17,3.0,u12
2013-03-28.18,4.0,u12
2013-03-29.16,1.0,u12
2013-03-30.14,3.0,u12
2013-04-01.14,4.0,u12
2013-04-04.23,3.0,u12
2013-04-05.21,4.0,u12
2013-04-10.14,4.0,u12
2013-04-10.15,1.0,u12
2013-04-11.16,1.0,u12
2013-04-13.10,3.0,u12
2013-04-15.17,1.0,u12
2013-04-16.12,1.0,u12
2013-04-30.7,3.0,u12
2013-03-27.17,4.0,u57
2013-03-27.18,5.0,u57
2013-03-28.19,4.0,u57
2013-03-29.17,4.0,u57
2013-03-31.21,5.0,u57
2013-04-02.11,1.0,u57
2013-04-03.24,1.0,u57
2013-04-04.24,1.0,u57
2013-04-05.22,1.0,u57
2013-04-08.21,1.0,u57
2013-04-09.15,4.0,u57
2013-04-09.16,1.0,u57
2013-04-10.16,4.0,u57
2013-04-11.17,1.0,u57
2013-04-13.11,1.0,u57
2013-04-14.7,2.0,u57
2013-04-15.18,2.0,u57
2013-04-16.13,2.0,u57
2013-04-16.14,1.0,u57
2013-04-17.16,3.0,u57
2013-04-17.17,2.0,u57
2013-04-18.15,1.0,u57
2013-04-20.5,2.0,u57
2013-04-21.3,2.0,u57
2013-04-23.11,3.0,u57
2013-04-24.3,3.0,u57
2013-04-29.13,3.0,u57
2013-04-30.8,2.0,u57
2013-05-01.5,2.0,u57
2013-05-02.3,3.0,u57
2013-05-14.1,1.0,u57
2013-05-09.4,4.0,u57
2013-05-15.1,1.0,u57
2013-05-07.4,1.0,u57
2013-05-06.5,3.0,u57
2013-05-08.3,1.0,u57
2013-05-16.1,1.0,u57
2013-05-19.3,2.0,u57
2013-05-19.4,1.0,u57
2013-05-17,1.0,u57
2013-05-18.3,1.0,u57
2013-05-20.1,1.0,u57
2013-05-21.3,1.0,u57
2013-05-23.2,1.0,u57
2013-06-03,5.0,u57
2013-03-28.20,1.0,u17
2013-03-30.15,2.0,u17
2013-04-11.18,3.0,u17
2013-04-15.19,3.0,u17
2013-04-16.15,3.0,u17
2013-04-17.18,2.0,u17
2013-04-18.16,3.0,u17
2013-04-19.4,3.0,u17
2013-04-20.6,2.0,u17
2013-04-21.4,3.0,u17
2013-04-26.5,3.0,u17
2013-04-29.14,3.0,u17
2013-05-01.6,3.0,u17
2013-05-07.5,3.0,u17
2013-05-08.4,3.0,u17
2013-05-17.1,3.0,u17
2013-05-15.2,3.0,u17
2013-05-18.4,3.0,u17
2013-05-20.2,3.0,u17
2013-06-01.2,3.0,u17
2013-04-03.25,1.0,u23
2013-03-28.21,1.0,u23
2013-03-29.18,2.0,u23
2013-03-29.19,1.0,u23
2013-03-30.16,1.0,u23
2013-03-30.17,4.0,u23
2013-03-31.22,4.0,u23
2013-03-31.23,1.0,u23
2013-04-02.12,1.0,u23
2013-04-01.15,4.0,u23
2013-04-04.25,1.0,u23
2013-04-05.23,1.0,u23
2013-04-08.22,1.0,u23
2013-04-06.14,1.0,u23
2013-04-06.15,4.0,u23
2013-04-07.15,1.0,u23
2013-04-07.16,4.0,u23
2013-04-09.17,1.0,u23
2013-04-12.17,1.0,u23
2013-04-13.12,1.0,u23
2013-04-18.17,1.0,u23
2013-04-14.8,1.0,u23
2013-04-17.19,1.0,u23
2013-04-20.7,1.0,u23
2013-03-29.20,1.0,u15
2013-03-31.24,1.0,u15
2013-04-03.26,3.0,u15
2013-04-05.24,1.0,u15
2013-04-09.18,1.0,u15
2013-04-17.20,1.0,u15
2013-04-01.16,1.0,u46
2013-04-01.17,2.0,u46
2013-04-01.18,5.0,u46
2013-04-01.19,4.0,u46
2013-04-03.27,4.0,u46
2013-04-02.13,2.0,u46
2013-04-05.25,3.0,u46
2013-04-05.26,1.0,u46
2013-04-06.16,3.0,u46
2013-04-06.17,4.0,u46
2013-04-07.17,3.0,u46
2013-04-08.23,3.0,u46
2013-04-08.24,4.0,u46
2013-04-12.18,1.0,u46
2013-04-15.20,3.0,u46
2013-04-17.21,3.0,u46
2013-04-26.6,3.0,u46
2013-04-29.15,3.0,u46
2013-05-06.6,2.0,u46
2013-03-25,2.0,u00
2013-04-03.28,2.0,u00
2013-04-03.29,1.0,u00
2013-03-26,2.0,u00
2013-03-27.19,1.0,u00
2013-03-28.22,4.0,u00
2013-03-28.23,1.0,u00
2013-03-28.24,2.0,u00
2013-03-28.25,3.0,u00
2013-03-29.21,4.0,u00
2013-03-29.22,1.0,u00
2013-03-31.25,4.0,u00
2013-03-31.26,5.0,u00
2013-04-04.26,4.0,u00
2013-04-04.27,1.0,u00
2013-04-04.28,2.0,u00
2013-04-05.27,2.0,u00
2013-04-05.28,1.0,u00
2013-04-07.18,5.0,u00
2013-04-06.18,1.0,u00
2013-04-08.25,3.0,u00
2013-04-09.19,3.0,u00
2013-04-09.20,1.0,u00
2013-04-10.17,1.0,u00
2013-04-12.19,2.0,u00
2013-04-15.21,3.0,u00
2013-04-14.9,3.0,u00
2013-04-17.22,3.0,u00
2013-04-23.12,1.0,u00
2013-04-25.4,1.0,u00
2013-05-09.5,4.0,u00
2013-05-08.5,1.0,u00
2013-05-08.6,5.0,u00
2013-05-16.2,4.0,u00
2013-05-17.2,4.0,u00
2013-05-23.3,1.0,u00
2013-05-24.1,1.0,u00
2013-05-25,2.0,u00
2013-05-25.1,1.0,u00
2013-05-25.2,3.0,u00
2013-03-30.18,4.0,u25
2013-03-28.26,4.0,u25
2013-03-28.27,1.0,u25
2013-04-01.20,1.0,u25
2013-04-01.21,2.0,u25
2013-04-03.30,4.0,u25
2013-04-03.31,1.0,u25
2013-04-05.29,1.0,u25
2013-04-08.26,2.0,u25
2013-04-09.21,4.0,u25
2013-04-16.16,4.0,u25
2013-04-03.32,4.0,u44
2013-04-04.29,5.0,u44
2013-04-04.30,4.0,u44
2013-04-04.31,1.0,u44
2013-04-08.27,2.0,u44
2013-04-08.28,1.0,u44
2013-04-08.29,4.0,u44
2013-04-05.30,4.0,u44
2013-04-05.31,1.0,u44
2013-04-06.19,1.0,u44
2013-04-06.20,4.0,u44
2013-04-07.19,1.0,u44
2013-04-09.22,4.0,u44
2013-04-09.23,1.0,u44
2013-04-10.18,1.0,u44
2013-04-10.19,2.0,u44
2013-04-11.19,1.0,u44
2013-04-12.20,1.0,u44
2013-04-15.22,1.0,u44
2013-04-15.23,2.0,u44
2013-04-13.13,1.0,u44
2013-04-13.14,2.0,u44
2013-04-18.18,1.0,u44
2013-04-20.8,1.0,u44
2013-04-21.5,1.0,u44
2013-04-22.8,2.0,u44
2013-04-25.5,1.0,u44
2013-04-23.13,4.0,u44
2013-04-23.14,1.0,u44
2013-04-26.7,1.0,u44
2013-04-27.2,1.0,u44
2013-04-29.16,1.0,u44
2013-04-29.17,3.0,u44
2013-04-30.9,3.0,u44
2013-04-30.10,1.0,u44
2013-05-01.7,1.0,u44
2013-05-02.4,1.0,u44
2013-05-03.7,1.0,u44
2013-05-06.7,1.0,u44
2013-05-06.8,4.0,u44
2013-05-08.7,1.0,u44
2013-05-08.8,3.0,u44
2013-05-14.2,1.0,u44
2013-05-05.1,1.0,u44
2013-05-04,1.0,u44
2013-05-15.3,4.0,u44
2013-05-15.4,3.0,u44
2013-05-16.3,4.0,u44
2013-05-07.6,1.0,u44
2013-05-09.6,1.0,u44
2013-05-12.2,1.0,u44
2013-05-12.3,4.0,u44
2013-05-13,1.0,u44
2013-05-19.5,1.0,u44
2013-05-17.3,4.0,u44
2013-05-18.5,1.0,u44
2013-05-20.3,1.0,u44
2013-05-22.1,1.0,u44
2013-05-23.4,1.0,u44
2013-05-24.2,1.0,u44
2013-05-27.3,2.0,u44
2013-03-27.20,4.0,u18
2013-03-29.23,1.0,u18
2013-04-03.33,1.0,u18
2013-04-08.30,1.0,u18
2013-04-05.32,1.0,u18
2013-04-09.24,1.0,u18
2013-04-19.5,1.0,u18
2013-04-21.6,1.0,u18
2013-04-30.11,3.0,u18
2013-03-29.24,3.0,u49
2013-03-30.19,3.0,u49
2013-03-31.27,3.0,u49
2013-03-31.28,1.0,u49
2013-03-31.29,4.0,u49
2013-04-01.22,4.0,u49
2013-04-02.14,4.0,u49
2013-04-03.34,3.0,u49
2013-04-03.35,1.0,u49
2013-04-04.32,2.0,u49
2013-04-04.33,4.0,u49
2013-04-05.33,2.0,u49
2013-04-07.20,5.0,u49
2013-04-06.21,4.0,u49
2013-04-06.22,1.0,u49
2013-04-08.31,2.0,u49
2013-04-08.32,4.0,u49
2013-04-09.25,5.0,u49
2013-04-10.20,5.0,u49
2013-04-11.20,5.0,u49
2013-04-13.15,4.0,u49
2013-04-13.16,5.0,u49
2013-04-14.10,4.0,u49
2013-04-17.23,4.0,u49
2013-04-18.19,3.0,u49
2013-04-18.20,4.0,u49
2013-04-20.9,1.0,u49
2013-04-29.18,4.0,u49
2013-05-01.8,4.0,u49
2013-05-10.1,1.0,u49
2013-05-10.2,4.0,u49
2013-05-13.1,1.0,u49
2013-05-06.9,4.0,u49
2013-05-04.1,3.0,u49
2013-05-07.7,5.0,u49
2013-05-07.8,3.0,u49
2013-05-18.6,5.0,u49
2013-05-18.7,2.0,u49
2013-05-19.6,5.0,u49
2013-05-24.3,4.0,u49
2013-05-27.4,1.0,u49
2013-05-30.2,5.0,u49
2013-05-31,2.0,u49
2013-03-29.25,1.0,u09
2013-03-27.21,4.0,u09
2013-03-28.28,4.0,u09
2013-03-27.22,4.0,u02
2013-03-29.26,4.0,u02
2013-03-28.29,1.0,u02
2013-03-30.20,4.0,u02
2013-03-31.30,5.0,u02
2013-04-03.36,1.0,u02
2013-04-04.34,2.0,u02
2013-04-05.34,1.0,u02
2013-04-08.33,1.0,u02
2013-04-09.26,1.0,u02
2013-04-13.17,1.0,u02
2013-04-17.24,4.0,u02
2013-04-25.6,1.0,u02
2013-05-03.8,1.0,u02
2013-03-28.30,4.0,u31
2013-03-29.27,5.0,u31
2013-04-03.37,4.0,u31
2013-04-05.35,4.0,u31
2013-03-29.28,2.0,u24
2013-03-29.29,3.0,u24
2013-03-29.30,4.0,u24
2013-03-29.31,1.0,u24
2013-03-30.21,1.0,u24
2013-03-30.22,2.0,u24
2013-04-02.15,4.0,u24
2013-04-01.23,2.0,u24
2013-04-05.36,4.0,u24
2013-04-06.23,1.0,u24
2013-04-08.34,1.0,u24
2013-04-14.11,2.0,u24
2013-04-14.12,3.0,u24
2013-04-14.13,1.0,u24
2013-04-09.27,3.0,u24
2013-04-09.28,1.0,u24
2013-04-09.29,2.0,u24
2013-04-12.21,2.0,u24
2013-04-12.22,1.0,u24
2013-04-13.18,1.0,u24
2013-04-18.21,2.0,u24
2013-05-13.2,1.0,u24
2013-04-01.24,1.0,u19
2013-03-27.23,1.0,u19
2013-03-27.24,4.0,u19
2013-03-28.31,1.0,u19
2013-03-29.32,1.0,u19
2013-04-02.16,1.0,u19
2013-04-03.38,1.0,u19
2013-04-03.39,2.0,u19
2013-04-04.35,1.0,u19
2013-04-04.36,2.0,u19
2013-04-08.35,2.0,u19
2013-04-06.24,2.0,u19
2013-04-05.37,1.0,u19
2013-04-05.38,2.0,u19
2013-04-07.21,3.0,u19
2013-04-09.30,1.0,u19
2013-04-09.31,2.0,u19
2013-04-13.19,2.0,u19
2013-04-12.23,1.0,u19
2013-04-10.21,2.0,u19
2013-04-11.21,2.0,u19
2013-04-17.25,2.0,u19
2013-04-16.17,2.0,u19
2013-04-14.14,2.0,u19
2013-04-15.24,1.0,u19
2013-04-15.25,2.0,u19
2013-04-18.22,2.0,u19
2013-04-19.6,1.0,u19
2013-04-23.15,1.0,u19
2013-04-25.7,2.0,u19
2013-04-26.8,1.0,u19
2013-04-29.19,3.0,u19
2013-04-29.20,2.0,u19
2013-05-01.9,2.0,u19
2013-05-02.5,2.0,u19
2013-05-03.9,1.0,u19
2013-05-12.4,4.0,u19
2013-05-16.4,3.0,u19
2013-05-16.5,1.0,u19
2013-05-06.10,1.0,u19
2013-05-14.3,1.0,u19
2013-05-13.3,2.0,u19
2013-05-15.5,1.0,u19
2013-05-15.6,4.0,u19
2013-05-17.4,3.0,u19
2013-05-18.8,3.0,u19
2013-05-19.7,4.0,u19
2013-05-20.4,4.0,u19
