day,hours,uid
12/04/13.15,10,u24
12/04/13.16,6,u24
12/04/13.17,5,u24
13/04/13.17,9,u24
18/04/13.16,7,u24
13/05/13.3,9,u24
01/04/13.20,7,u19
01/04/13.21,8,u19
27/03/13.17,8,u19
28/03/13.20,8,u19
29/03/13.24,7,u19
02/04/13.13,8,u19
03/04/13.30,8,u19
04/04/13.24,7,u19
08/04/13.30,8,u19
06/04/13.16,5,u19
05/04/13.30,7,u19
07/04/13.15,7,u19
09/04/13.23,8,u19
13/04/13.18,7,u19
12/04/13.18,8,u19
10/04/13.20,8,u19
11/04/13.16,7,u19
17/04/13.20,7,u19
16/04/13.15,7,u19
14/04/13.12,8,u19
15/04/13.18,8,u19
18/04/13.17,6,u19
19/04/13.5,8,u19
23/04/13.11,9,u19
25/04/13.7,7,u19
26/04/13.7,8,u19
29/04/13.13,6,u19
29/04/13.14,7,u19
01/05/13.7,6,u19
01/05/13.8,3,u19
02/05/13.4,8,u19
03/05/13.10,8,u19
12/05/13.4,11,u19
16/05/13.4,6,u19
06/05/13.8,8,u19
14/05/13.3,8,u19
13/05/13.4,10,u19
15/05/13.4,9,u19
17/05/13.4,6,u19
18/05/13.7,13,u19
19/05/13.6,12,u19
20/05/13.4,12,u19
22/05/13.2,11,u19
24/05/13.4,11,u19
31/05/13.1,14,u19
25/05/13.1,11,u19
29/05/13.1,1,u19
26/05/13.1,9,u19
10/04/13.21,7,u39
10/04/13.22,8,u39
13/04/13.19,8,u39
16/04/13.16,8,u39
17/04/13.21,8,u39
25/04/13.8,8,u39
29/03/13.25,8,u47
29/03/13.26,9,u47
23/05/13.5,7,u47
02/04/13.14,7,u42
02/04/13.15,6,u42
03/04/13.31,7,u42
05/04/13.31,6,u42
08/04/13.31,8,u42
13/05/13.5,9,u42
15/05/13.5,7,u42
28/03/13.21,8,u33
29/03/13.27,7,u33
30/03/13.20,7,u33
31/03/13.22,7,u33
01/04/13.22,6,u33
03/04/13.32,0,u33
04/04/13.25,8,u33
05/04/13.32,7,u33
06/04/13.17,10,u33
08/04/13.32,6,u33
09/04/13.24,10,u33
10/04/13.23,6,u33
11/04/13.17,8,u33
12/04/13.19,8,u33
15/04/13.19,4,u33
13/04/13.20,10,u33
14/04/13.13,8,u33
17/04/13.22,13,u33
17/04/13.23,2,u33
18/04/13.18,8,u33
